Tag ID#1,Tag ID#2,Date Tagged,R1Date,R2Date,R3Date,dal1,dal2,dal3,R1Tag,R2Tag,R3Tag,TagSite,Site Recap1,Site Recap2,Site Recap3,Site Recap4,Inside/Outside Tagged,Inside/Outside Recap1,Inside/Outside Recap2,Inside/Outside Recap3,Inside/Outside Recap4,Fin Clip ID tagging,Species,SL (mm) Tagged,SL (mm) Recap1,SL (mm) Recap2,SL (mm) Recap3,TL (in) Recap1,TL (in) Recap2,"If recapture, released/kept? Recap1","If recapture, released/kept? Recap2","If recapture, released/kept? Recap3","If recapture, released/kept? Recap4"
1666,1665,11/2/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,234,,,,,,,,,
1669,1668,11/2/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,249,,,,,,,,,
1672,1671,11/2/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,268,,,,,,,,,
1675,1674,11/2/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,313,,,,,,,,,
1676,1677,11/2/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,256,,,,,,,,,
1680,1681,11/2/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,333,,,,,,,,,
1683,1684,11/2/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,235,,,,,,,,,
1685,1686,11/2/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,249,,,,,,,,,
1692,1693,11/2/2012,6/4/2013,,,214,,,2,,,La Jolla,La Jolla,,,,Outside,Outside,,,,,kelp bass,257,255,,,,,kept,,,
1697,1698,11/2/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,235,,,,,,,,,
1699,1700,11/2/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,281,,,,,,,,,
1701,1702,11/27/2012,6/23/2013,,,,,,2,,,La Jolla South,La Jolla,,,,Inside,Outside,,,,,kelp bass,298,,,,,,"released, tag left in place",,,
1707,1708,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,240,,,,,,,,,
1710,1711,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,256,,,,,,,,,
1713,1714,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,282,,,,,,,,,
1720,1721,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,302,,,,,,,,,
1722,1723,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,343,,,,,,,,,
1724,1725,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,307,,,,,,,,,
1729,1730,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,283,,,,,,,,,
1732,1733,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,242,,,,,,,,,
1735,1736,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,305,,,,,,,,,
1737,1738,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,230,,,,,,,,,
1739,1740,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,231,,,,,,,,,
1741,1742,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,243,,,,,,,,,
1744,1745,11/27/2012,7/1/2013,,,,,,2,,,La Jolla South,La Jolla,,,,Inside,Outside,,,,,kelp bass,258,265,,,,,"released, tag left in place",,,
1746,1747,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,245,,,,,,,,,
1748,1749,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,234,,,,,,,,,
1851,1852,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,284,,,,,,,,,
1853,1854,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,283,,,,,,,,,
1856,1857,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,294,,,,,,,,,
1859,1860,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,286,,,,,,,,,
1862,1863,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,254,,,,,,,,,
1865,1866,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,barred sand bass,307,,,,,,,,,
1874,1875,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,270,,,,,,,,,
1876,1877,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,260,,,,,,,,,
1878,1879,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,278,,,,,,,,,
1880,1881,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,308,,,,,,,,,
1883,1884,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,249,,,,,,,,,
1887,1888,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,300,,,,,,,,,
1889,1890,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,354,,,,,,,,,
1891,1892,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,barred sand bass,268,,,,,,,,,
1893,1894,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,296,,,,,,,,,
1895,1896,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,352,,,,,,,,,
1897,1898,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,350,,,,,,,,,
1899,1900,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,221,,,,,,,,,
2854,2855,12/6/2012,7/1/2014,,,,,572,2,,,La Jolla Cove,La Jolla Cove,,,,Inside,Inside,,,,,kelp bass,415,421,,,,,"released, tag left in place",,,
2858,2859,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,290,,,,,,,,,
2860,2861,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,282,,,,,,,,,
2862,2863,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,302,,,,,,,,,
2864,2865,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,349,,,,,,,,,
2869,2870,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,290,,,,,,,,,
2873,2874,12/6/2012,9/17/2014,,,,,650,2,,,La Jolla Cove,La Jolla Cove,,,,Inside,Inside,,,,,kelp bass,283,302,,,,,"released, tag left in place",,,
2876,2877,12/6/2012,6/17/2013,,,,,,2,,,La Jolla Cove,La Jolla Cove,,,,Inside,Inside,,,,,kelp bass,304,303,,,,,"released, tag left in place",,,
2878,2879,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,269,,,,,,,,,
2881,19213,12/6/2012,7/1/2014,,,,,572,2,,,La Jolla Cove,La Jolla Cove,,,,Inside,Inside,,,,,kelp bass,260,285,,,,,"released, tag left in place",,,
2884,2885,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,343,,,,,,,,,
2887,2888,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,257,,,,,,,,,
2897,2898,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,298,,,,,,,,,
2951,2952,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,272,,,,,,,,,
2953,2954,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,290,,,,,,,,,
2955,2956,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,305,,,,,,,,,
2957,2958,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,295,,,,,,,,,
2960,2961,12/6/2012,4/10/2014,,,,,490,1,,,La Jolla Cove,La Jolla,,,,Inside,Outside,,,,,kelp bass,307,,,,,,kept,,,
2964,2965,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,275,,,,,,,,,
2974,3000,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,barred sand bass,309,,,,,,,,,
2985,2984,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,barred sand bass,297,,,,,,,,,
3001,3002,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,294,,,,,,,,,
3005,3006,12/6/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,240,,,,,,,,,
